datetime,close,open,high,low,volume,openinterest,开仓价格,平仓价格开盘价格,平仓价格收盘价格,方向,差价1,差2,盈利1,盈利1,,开仓价格,平仓价格收盘价格,,方向,差价1,盈利1
2022/12/19,3910.8,3971,3989.8,3895.4,74370,11.21217211,3910.8,3900,3852,1,-10.8,-58.8,-10.8,-10.8,,,,,,,
2022/12/20,3852,3900,3903.2,3827.4,69751,5.512777885,3852,3859.6,3846,1,7.6,-6,7.6,7.6,,,,,,,
2022/12/21,3846,3859.6,3866,3835,51235,6.199596735,3846,3870,3855,1,24,9,24,24,,,,,,,
2022/12/22,3855,3870,3897.8,3835,64856,-1.855308228,3855,3835,3846,1,-20,-9,-20,-20,,,,,,,
2022/12/23,3846,3835,3871,3826.2,61037,0.785056359,3846,3850,3853,-1,4,7,-4,4,,,,,,,
2022/12/26,3853,3850,3878.6,3847.8,46893,-5.28620652,3853,3882,3900,-1,29,47,-29,29,,,,,,,
2022/12/27,3900,3882,3907.2,3874,51821,-2.28420145,3900,3889.2,3885,-1,-10.8,-15,10.8,-10.8,,,,,,,
2022/12/28,3885,3889.2,3897.4,3868.4,48467,-2.401035173,3885,3868,3868.2,-1,-17,-16.8,17,-17,,,,,,,
2022/12/29,3868.2,3868,3881,3845,50936,-2.758293316,3868.2,3885,3879.4,-1,16.8,11.2,-16.8,16.8,,,,,,,
2022/12/30,3879.4,3885,3898.8,3877.8,44711,,3879.4,3861,3894.2,-1,0,0,0,0,,,,,,,
2023/1/3,3894.2,3861,3909.6,3834.4,67115,-2.096488127,,,,,,,,,,,,,,,
2023/1/4,3898,3897.4,3911,3876.6,52123,-0.003038668,3898,3923.8,3974.4,1,25.8,76.4,25.8,76.4,,3897.4,3898,,-1,0.6,-0.6
2023/1/5,3974.4,3923.8,3982.6,3918,65791,-1.584727193,3974.4,3975.2,3990.8,1,0.8,16.4,0.8,16.4,,3923.8,3974.4,,-1,50.6,-50.6
2023/1/6,3990.8,3975.2,4008,3972,55649,0.387971298,3990.8,4008,4011.6,1,17.2,20.8,17.2,20.8,,3975.2,3990.8,,-1,15.6,-15.6
2023/1/9,4011.6,4008,4032,3996.8,56555,-2.196176161,4011.6,4014,4018,1,2.4,6.4,2.4,6.4,,4008,4011.6,,-1,3.6,-3.6
2023/1/10,4018,4014,4037.8,4003.4,48658,-2.504217146,4018,4022,4017.2,1,4,-0.8,4,-0.8,,4014,4018,,-1,4,-4
2023/1/11,4017.2,4022,4048.2,4012.4,50080,5.62133151,4017.2,4029.6,4024.6,1,12.4,7.4,12.4,7.4,,4022,4017.2,,-1,-4.8,4.8
2023/1/12,4024.6,4029.6,4038.6,4010.8,45904,1.236573695,4024.6,4037,4090.8,-1,12.4,66.2,-12.4,-66.2,,4029.6,4024.6,,1,-5,-5
2023/1/13,4090.8,4037,4091.8,4033.8,56670,-2.6642812,4090.8,4090.6,4149.6,1,-0.2,58.8,-0.2,58.8,,4037,4090.8,,-1,53.8,-53.8
2023/1/16,4149.6,4090.6,4196,4089.8,76171,-1.222633923,4149.6,4151,4147,1,1.4,-2.6,1.4,-2.6,,4090.6,4149.6,,-1,59,-59
2023/1/17,4147,4151,4160.8,4131.4,45135,-1.37975751,4147,4153,4133.4,1,6,-13.6,6,-13.6,,4151,4147,,-1,-4,4
2023/1/18,4133.4,4153,4161.4,4130,41644,-0.282134428,4133.4,4121.4,4158,1,-12,24.6,-12,24.6,,4153,4133.4,,-1,-19.6,19.6
2023/1/19,4158,4121.4,4162.2,4105,36370,-10.69455914,4158,4169,4180.4,1,11,22.4,11,22.4,,4121.4,4158,,-1,36.6,-36.6
